imdbid,sprache
tt0408318,English
tt0408318,Spanish
tt0410297,English
tt0411265,English
tt0411267,English
tt0411267,Welsh
tt0412142,English
tt0413406,English
tt0414224,English
tt0414879,French
tt0416675,Mandarin
tt0416675,English
tt0416881,Japanese
tt0417001,English
tt0417001,Armenian
tt0418141,English
tt0419198,Italian
tt0419198,English
tt0419198,Arabic
tt0419198,French
tt0419208,Japanese
tt0420252,English
tt0420555,French
tt0420555,Italian
tt0420555,English
tt0421030,English
tt0421239,English
tt0421239,Russian
tt0421593,Italian
tt0421729,English
tt0422093,English
tt0422434,English
tt0424430,Japanese
tt0424430,English
tt0424873,Turkish
tt0425637,Mandarin
tt0426592,English
tt0426883,English
tt0428579,English
tt0428579,French
tt0429626,Persian
tt0431308,English
tt0431641,Japanese
tt0432402,English
tt0432402,Slovak
tt0432402,French
tt0433360,English
tt0433883,English
tt0433963,English
tt0434706,English
tt0434706,Japanese
tt0437729,English
tt0439553,English
tt0441834,Japanese
tt0443450,English
tt0443518,English
tt0443518,French
tt0445094,English
tt0445840,Mandarin
tt0446567,Norwegian
tt0449306,Hindi
tt0451109,English
tt0452608,English
tt0452643,English
tt0452643,Spanish
tt0452971,Spanish
tt0454082,English
tt0454431,Hindi
tt0455915,English
tt0456481,Hindi
tt0456481,English
tt0456773,German
tt0459945,Russian
tt0460435,English
tt0462200,English
tt0462538,English
tt0462580,English
tt0462667,French
tt0462667,Russian
tt0462667,English
tt0466342,English
tt0466408,German
tt0466566,English
tt0467200,English
tt0468558,English
tt0468569,English
tt0468569,Mandarin
tt0468644,Dutch
tt0468644,English
tt0468644,Spanish
tt0469318,English
tt0477139,English
tt0477139,Russian
tt0477574,Hindi
tt0479965,English
tt0481006,Hungarian
tt0481937,English
tt0482527,English
tt0482930,Cantonese
tt0483184,Malayalam
tt0483578,Japanese
tt0484562,English
tt0484740,English
tt0485376,English
tt0486651,English
tt0488320,Japanese
tt0490076,English
tt0490228,English
tt0491735,English
tt0492956,English
tt0497532,N/A
tt0498483,English
tt0757157,Korean
tt0758740,English
tt0758752,English
tt0770772,English
tt0779982,English
tt0783238,English
tt0784938,English
tt0792986,French
tt0795363,Mandarin
tt0795368,English
tt0795461,English
tt0795461,Spanish
tt0795461,Latin
tt0799949,English
tt0800027,English
tt0801344,English
tt0803061,English
tt0803061,Polish
tt0805564,English
tt0805564,Spanish
tt0805661,English
tt0806165,English
tt0806165,Japanese
tt0808399,English
tt0808399,French
tt0808399,Cantonese
tt0808399,Yiddish
tt0808506,Japanese
tt0809497,English
tt0810819,English
tt0810819,French
tt0810819,German
tt0810819,Ukrainian
tt0811138,English
tt0814187,English
tt0816436,English
tt0816539,English
tt0819714,English
tt0819714,Welsh
tt0830558,English
tt0833425,Danish
tt0836641,Russian
tt0844708,English
tt0846308,English
tt0847232,English
tt0850641,English
tt0852705,English
tt0852713,English
tt0854678,English
tt0856262,Mandarin
tt0856262,Cantonese
tt0865297,English
tt0873886,English
tt0877057,Japanese
tt0877057,English
tt0878230,Japanese
tt0878230,English
tt0879870,English
tt0879870,Italian
tt0879870,Portuguese
tt0883398,English
tt0884853,Serbian
tt0899106,English
tt0903657,English
tt0905315,Mandarin
tt0906778,English
tt0911010,English
tt0911010,Japanese
tt0911010,Korean
tt0913951,English
tt0914364,English
tt0920462,English
tt0920462,Japanese
tt0923633,English
tt0944947,English
tt0947798,English
tt0947798,French
tt0947798,Italian
tt0947810,English
tt0947810,Arabic
tt0956177,Swedish
tt0960066,English
tt0961097,French
tt0961097,English
tt0962826,Japanese
tt0962826,English
tt0962826,Spanish
tt0962826,Russian
tt0970948,English
tt0972558,Russian
tt0974959,English
tt0977855,English
tt0977855,Arabic
tt0977855,French
tt0985025,English
tt0988043,English
tt0990407,English
tt0990407,Mandarin
tt0995941,English
tt0995941,Japanese
tt0995941,German
tt0995941,Korean
tt0995941,Spanish
tt0995941,French
tt0996605,French
tt1000734,English
tt10016724,English
tt10023024,Hindi
tt10023024,Rajasthani
tt10097312,Mandarin
tt10097484,Chinese
tt10097484,Cantonese
tt1013860,English
tt10160592,Korean
tt10166602,English
tt10172266,English
tt10228168,Japanese
tt10228168,Mandarin
tt10229558,English
tt10238788,English
tt1024942,Danish
tt10274284,English
tt10275370,English
tt10276482,English
tt10279472,English
tt10279472,Spanish
tt1028528,English
tt10289996,English
tt10293406,English
tt10294164,Persian
tt10320050,Turkish
tt1032815,English
tt10341034,French
tt10341034,English
tt10350626,Hindi
tt10365730,English
tt10365730,Chinese
tt10378788,English
tt10380768,English
tt10426916,French
tt1043651,English
tt1045772,English
tt1045772,Spanish
tt1046163,English
tt10466872,English
tt10472884,Japanese
tt10473306,English
tt10481868,English
tt10484164,English
tt1050160,Japanese
tt10514222,English
tt10516352,Turkish
tt10516390,English
tt10546058,English
tt10556338,English
tt10562574,Thai
tt10648342,English
tt10653784,English
tt10656188,Indonesian
tt10692788,English
tt10692788,French
tt10692788,Arabic
tt10692788,Urdu
tt10731768,English
tt10732682,English
tt10752004,English
tt10752100,English
tt10763618,Korean
tt1077368,English
tt10776484,German
tt10803634,Malay
tt1084019,Japanese
tt10847306,English
tt1085074,Japanese
tt10888876,Swedish
tt10919132,Kannada
tt10919420,Korean
tt10919420,English
tt10919420,Urdu
tt10921958,Russian
tt10935560,Italian
tt1095027,English
tt10950320,English
tt10972026,English
tt1101038,English
tt11032374,Japanese
tt11058644,Korean
tt11060882,English
tt1107319,English
tt11079148,English
tt11079148,Latin
tt1108209,English
tt11100856,English
tt11134554,English
tt1114265,English
tt11143196,Kannada
tt1114677,English
tt1119621,English
tt11198330,English
tt11199388,Swedish
tt11214590,English
tt11214590,Italian
tt11214590,Arabic
tt11214590,Spanish
tt11214590,Japanese
tt11214590,French
tt11219136,English
tt11252248,English
tt11252248,Spanish
tt11252248,Arabic
tt11269026,Spanish
tt1128075,Japanese
tt11281220,Turkish
tt11281220,Persian
tt11286314,English
tt1132620,Swedish
tt1132620,English
tt1133985,English
tt1135989,Hebrew
tt1135989,English
tt1135989,Arabic
tt1135989,Russian
tt11365186,English
tt1137470,English
tt1137470,Portuguese
tt11384004,Telugu
tt11384200,English
tt11384690,N/A
tt11388406,English
tt11389868,English
tt11395060,English
tt11417508,English
tt11423214,English
tt1148277,English
tt11506798,English
tt1152282,Thai
tt11546816,Thai
tt1155056,English
tt1156311,English
tt1160419,English
tt1160419,Mandarin
tt1161624,English
tt11649338,English
tt11704040,English
tt1172994,English
tt11768948,None
tt1179034,English
tt1179034,French
tt1179034,Mandarin
tt1179034,German
tt1181791,English
tt1181791,Latin
tt11823076,English
tt1182350,English
tt1182350,Italian
tt11835714,English
tt11859012,English
tt11904786,English
tt1190536,English
tt1190867,Japanese
tt11912196,Hindi
tt1193490,Korean
tt1194271,English
tt1194664,Japanese
tt12002786,Japanese
tt12054414,English
tt12057168,Russian
tt12120130,English
tt1213644,English
tt1216487,Swedish
tt1216487,Italian
