imdbid,autor
tt0283877,Bret Easton Ellis (Characters created by)
tt0284244,Norbert Eberlein
tt0285680,Hisao Maki
tt0285680,Charles E. Morris
tt0286788,William Douglas-Home
tt0286788,Jenny Bicks
tt0286788,Elizabeth Chandler
tt0287839,N/A
tt0289765,Thomas Harris
tt0289765,Ted Tally
tt0290326,Shashank Dabral
tt0290326,Anubhav Sinha
tt0292945,Manoochehr Keymaram
tt0293069,Jim Barton
tt0293069,Sophie Dix
tt0293715,Ho-sik Kim
tt0293715,Jae-young Kwak
tt0294433,Barbara Jampel
tt0300051,Kevin Smith
tt0301370,Jing-kang Chou
tt0301370,Yang Yang
tt0304824,James Bickert
tt0305669,Jason Filardi
tt0306047,Craig Mazin
tt0306047,Pat Proft
tt0306047,Shawn Wayans
tt0306841,Susan Estelle Jansen
tt0306841,Ed Decter
tt0306841,John J. Strauss
tt0308252,K.C. Bascombe
tt0308252,John Sullivan
tt0308379,Kôji Suzuki
tt0308379,Takashige Ichise
tt0308379,Hideo Nakata
tt0309530,Eve Ahlert
tt0309530,Dennis Drake
tt0312528,Dr. Seuss
tt0312528,Alec Berg
tt0312528,David Mandel
tt0313016,Doris Egan
tt0313016,Hans Rodionoff
tt0313016,Clive Barker
tt0314331,Richard Curtis
tt0314405,Rolf Forsberg
tt0315638,Alejandro Gamboa
tt0315638,Francisco Sánchez
tt0315983,Andre Dubus III
tt0315983,Vadim Perelman
tt0315983,Shawn Lawrence Otto
tt0317676,Mark A. Altman
tt0317676,Dan Bates
tt0317676,Dave Parker
tt0322802,Jeff Tremaine
tt0322802,Spike Jonze
tt0322802,Johnny Knoxville
tt0323807,Gabriele Muccino
tt0323807,Heidrun Schleef
tt0324013,Ron Nyswaner
tt0325618,Keero Birla
tt0325618,Jim Corbett
tt0325733,Achim von Borries
tt0325733,Henk Handloegten
tt0325733,Annette Hess
tt0327643,Jenny McCarthy-Wahlberg
tt0328077,Robert Parigi
tt0329200,John Hughes
tt0329200,Debra Frank
tt0329200,Steve L. Hayes
tt0333780,Amanda Brown
tt0333780,Eve Ahlert
tt0333780,Dennis Drake
tt0335119,Tracy Chevalier
tt0335119,Olivia Hetreed
tt0337592,Michael Swerdlick
tt0337592,Troy Byer
tt0338459,Robert Rodriguez
tt0344160,N/A
tt0345591,Cindy Kelley
tt0345591,Michael Landon Jr.
tt0345591,Janette Oke
tt0345950,Derek Drymon
tt0345950,Tim Hill
tt0345950,Stephen Hillenburg
tt0347618,Aoi Hiiragi
tt0347618,Hayao Miyazaki
tt0347618,Reiko Yoshida
tt0349682,Alex Buresch
tt0349682,Alain Gsponer
tt0349682,Edin H.-Hadzimahovic
tt0356634,Jim Davis
tt0356634,Joel Cohen
tt0356634,Alec Sokolow
tt0362120,Craig Mazin
tt0362120,Jim Abrahams
tt0362120,Pat Proft
tt0364517,Yann Samuell
tt0369226,Elan Mastai
tt0369226,Michael Roesch
tt0369226,Peter Scheerer
tt0369672,Ronald Everett Capps
tt0369672,Shainee Gabel
tt0375735,Ian McEwan
tt0375735,Joe Penhall
tt0382189,Helen Cross
tt0382189,Pawel Pawlikowski
tt0382189,Michael Wynne
tt0382628,Kôji Suzuki
tt0382628,Hideo Nakata
tt0382628,Takashige Ichise
tt0384252,Regine Lassen (screenplay)
tt0384252,Josef Schnelle (screenplay)
tt0384252,Bert Schrickel (screenplay)
tt0384252,Hans de Beer (creator)
tt0384629,John Passfield (script)
tt0384629,George Stamatiadis (additional dialogue)
tt0385002,Lexi Alexander
tt0385002,Dougie Brimson
tt0385002,Josh Shelov
tt0385004,Feng Li
tt0385004,Bin Wang
tt0385004,Yimou Zhang
tt0385880,Dan Harmon
tt0385880,Rob Schrab
tt0385880,Pamela Pettler
tt0387126,Joanne Reay
tt0387228,N/A
tt0388980,Mark Frost
tt0389790,Jerry Seinfeld
tt0389790,Spike Feresten
tt0389790,Barry Marder
tt0390559,Vidwan Kanwasri
tt0390559,Rakesh Kumar
tt0390559,D. Prabhakar
tt0391304,Colin Patrick Lynch
tt0391908,Brett Orr (screenplay)
tt0391908,Phillip J. Roth (screenplay)
tt0393735,Cormac Wibberley
tt0393735,Marianne Wibberley
tt0393735,Geoff Rodkey
tt0393879,N/A
tt0397065,Charles Belden
tt0397065,Chad Hayes
tt0397065,Carey W. Hayes
tt0397113,Anna Sandor
tt0397113,Bruce Graham
tt0397442,Stephanie Savage
tt0397442,Josh Schwartz
tt0397619,Kim Ki-duk
